type,lat,lon,highway_type,destination,destination_ref,ref,name
ramp,43.7583974,-79.632535,motorway_junction,,,19A,
ramp,43.7572736,-79.6232319,motorway_junction,,,,
ramp,43.7541715,-79.6329104,motorway_junction,,,59,
ramp,43.6735414,-79.5723847,motorway_junction,,,,
ramp,43.6828451,-79.5748045,motorway_junction,,,352,
ramp,43.655629,-79.5677458,motorway_junction,,,,
ramp,43.6672156,-79.5727405,motorway_junction,,,,
ramp,43.6698343,-79.5732649,motorway_junction,,,,
ramp,43.6650678,-79.5729316,motorway_junction,,,,
ramp,43.6726897,-79.5734981,motorway_junction,,,,
ramp,43.6738603,-79.5712021,motorway_junction,,,,
ramp,43.6394815,-79.3874545,motorway_junction,,,154,
ramp,43.6347321,-79.4707586,motorway_junction,,,145,
ramp,43.7472146,-79.4161739,motorway_junction,,,,
ramp,43.744646,-79.4202624,motorway_junction,,,367,
ramp,43.7616763,-79.3927643,motorway_junction,,,371,
ramp,43.7649555,-79.3804463,motorway_junction,,,371,
ramp,43.6189889,-79.6323496,motorway_junction,,,,
ramp,43.6230719,-79.6391013,motorway_junction,,,121,
ramp,43.6254975,-79.6424082,motorway_junction,,,122,
ramp,43.6207307,-79.6384915,motorway_junction,,,,
ramp,43.6231064,-79.6380117,motorway_junction,,,,
ramp,43.6098217,-79.6345705,motorway_junction,,,121,
ramp,43.6046124,-79.6405435,motorway_junction,,,119,
ramp,43.5967657,-79.6484342,motorway_junction,,,119,
ramp,43.5798692,-79.6664979,motorway_junction,,,117,
ramp,43.5481081,-79.7040848,motorway_junction,,,111,
ramp,43.541266,-79.7121213,motorway_junction,,,109A,
ramp,43.5324773,-79.7219419,motorway_junction,,,109B,
ramp,43.5500917,-79.7012125,motorway_junction,,,112,
ramp,43.5241807,-79.7177183,motorway_junction,,,109,
ramp,43.5283312,-79.7257809,motorway_junction,,,,
ramp,43.5277191,-79.7252192,motorway_junction,,,,
ramp,43.5211985,-79.732662,motorway_junction,,,,
ramp,43.4867416,-79.6725302,motorway_junction,,,123,
ramp,43.5088387,-79.6877077,motorway_junction,,,106,
ramp,43.5832925,-79.6622958,motorway_junction,,,,
ramp,43.5390363,-79.7142484,motorway_junction,,,111,
ramp,43.8316847,-79.4357774,motorway_junction,,,77,
ramp,43.7030534,-79.7345596,motorway_junction,,,10,
ramp,43.7080065,-79.742024,motorway_junction,,,10,
ramp,43.7534126,-79.6314725,motorway_junction,,,19B,
ramp,43.6498197,-79.5646668,motorway_junction,,,,
ramp,43.6185834,-79.5531761,motorway_junction,,,,
ramp,43.6145552,-79.5492149,motorway_junction,,,,
ramp,43.6320364,-79.5574937,motorway_junction,,,,
ramp,43.611014,-79.5486041,motorway_junction,,,,
ramp,43.4629861,-79.6843502,motorway_junction,,,,
ramp,43.8643443,-79.3749221,motorway_junction,,,29,
ramp,43.8781917,-79.3783141,motorway_junction,,,31,
ramp,43.8895584,-79.3815677,motorway_junction,,,31,
ramp,43.8956274,-79.3826332,motorway_junction,,,33,
ramp,43.4581835,-79.6868723,motorway_junction,,,118,
ramp,43.398834,-79.7530121,motorway_junction,,,109,
ramp,43.6614931,-79.7071507,motorway_junction,,,46,
ramp,43.6642409,-79.7032664,motorway_junction,,,,
ramp,43.6747933,-79.6966347,motorway_junction,,,,
ramp,43.6626448,-79.6914569,motorway_junction,,,5,
ramp,43.4203336,-79.7289968,motorway_junction,,,113,
ramp,43.7498021,-79.5293583,motorway_junction,,,25,
ramp,43.7551531,-79.5328128,motorway_junction,,,,
ramp,43.6249587,-79.5549513,motorway_junction,,,,
ramp,43.6488884,-79.5653953,motorway_junction,,,,
ramp,43.6395218,-79.387793,motorway_junction,,,153,
ramp,43.6454458,-79.3727687,motorway_junction,,,,
ramp,43.7273171,-79.456407,motorway_junction,,,,
ramp,43.6574076,-79.7122198,motorway_junction,,,44,
ramp,43.7117488,-79.5414247,motorway_junction,,,357,
ramp,43.711694,-79.5433853,motorway_junction,,,355,
ramp,43.7106061,-79.55014,motorway_junction,,,,
ramp,43.7111231,-79.5539404,motorway_junction,,,,
ramp,43.6515324,-79.5653372,motorway_junction,,,,
ramp,43.5816294,-79.8171573,motorway_junction,,,330A,
ramp,43.5896911,-79.8084931,motorway_junction,,,330B,
ramp,43.7603883,-79.6082225,motorway_junction,,,59,
ramp,43.693337,-79.5690394,motorway_junction,,,,
ramp,43.6884178,-79.5712036,motorway_junction,,,354,
ramp,43.6968492,-79.5887643,motorway_junction,,,,
ramp,43.6968584,-79.5921788,motorway_junction,,,,
ramp,43.6916679,-79.611502,motorway_junction,,,,
ramp,43.6855451,-79.6001807,motorway_junction,,,,
ramp,43.7209844,-79.6749886,motorway_junction,,,53,
ramp,43.7385132,-79.6572577,motorway_junction,,,54,
ramp,43.7905497,-79.5044021,motorway_junction,,,69,
ramp,43.7789068,-79.3411888,motorway_junction,,,,
ramp,43.7764597,-79.3376979,motorway_junction,,,,
ramp,43.7238717,-79.4470136,motorway_junction,,,,
ramp,43.7294095,-79.7684038,motorway_junction,,,13,
ramp,43.7267097,-79.4592913,motorway_junction,,,,
ramp,43.7148503,-79.5307636,motorway_junction,,,357,
ramp,43.5297716,-79.9060415,motorway_junction,,,,
ramp,43.4401611,-79.7930688,motorway_junction,,,13,
ramp,43.4505792,-79.7877757,motorway_junction,,,13,
ramp,43.4185216,-79.8167841,motorway_junction,,,9,
ramp,43.4111631,-79.824929,motorway_junction,,,9,
ramp,43.5305613,-79.9000583,motorway_junction,,,320,
ramp,43.4514392,-79.6950876,motorway_junction,,,116,
ramp,43.5024855,-79.6785696,motorway_junction,,,104,
ramp,43.5517106,-79.6150284,motorway_junction,,,130,
ramp,43.4137465,-79.7368289,motorway_junction,,,111,
ramp,43.6782089,-79.6944862,motorway_junction,,,46,
ramp,43.7178587,-79.6181982,motorway_junction,,,,
ramp,43.7229742,-79.622942,motorway_junction,,,,
