sample_order,timestamp,latitude,longitude,speed_kmh
590,26683,43.444569,-80.193398,112.3
591,26684,43.444645,-80.193024,112.9
592,26685,43.444721,-80.19265,112.9
593,26686,43.44479,-80.192261,116.4
594,26687,43.444859,-80.191887,112.2
595,26688,43.444927,-80.191505,114.3
596,26689,43.445,-80.191109,118.7
597,26690,43.44508,-80.190727,115.5
598,26691,43.445148,-80.190338,116.3
599,26692,43.445217,-80.189941,118.6
600,26693,43.445293,-80.18956,114.8
601,26694,43.445374,-80.189171,117.6
602,26695,43.44545,-80.188782,117.1
603,26696,43.445522,-80.188393,116.7
604,26697,43.445599,-80.188004,117.2
605,26698,43.445667,-80.187607,118.5
606,26699,43.445736,-80.187218,116.4
607,26700,43.445816,-80.186836,115.5
608,26701,43.445889,-80.186455,114.5
609,26702,43.445969,-80.186089,111.1
610,26703,43.446049,-80.185715,113.3
611,26704,43.446121,-80.185333,114.7
612,26705,43.446198,-80.184967,110.7
613,26706,43.446262,-80.184601,109.4
614,26707,43.446331,-80.184242,107.9
615,26708,43.4464,-80.183868,112.1
616,26709,43.446472,-80.183502,110.2
617,26710,43.446541,-80.183136,109.9
618,26711,43.446609,-80.18277,109.8
619,26712,43.446686,-80.182404,110.7
620,26713,43.446758,-80.182014,117.0
621,26714,43.446831,-80.181648,110.3
622,26715,43.446892,-80.181274,111.4
623,26716,43.44696,-80.180885,116.3
624,26717,43.447033,-80.180519,110.3
625,26718,43.447105,-80.180153,110.2
626,26719,43.44717,-80.179787,109.5
627,26720,43.447239,-80.179436,105.7
628,26721,43.447311,-80.179054,114.7
629,26722,43.44738,-80.178696,107.6
630,26723,43.447449,-80.178337,107.9
631,26724,43.447525,-80.177979,108.4
632,26725,43.447598,-80.177605,112.6
633,26726,43.447674,-80.177246,108.7
634,26727,43.447746,-80.17688,110.2
635,26728,43.447823,-80.176514,110.7
636,26729,43.447895,-80.176147,110.5
637,26730,43.447964,-80.175758,116.4
638,26731,43.448036,-80.175385,112.2
639,26732,43.448105,-80.175018,110.2
640,26733,43.44817,-80.174637,113.7
641,26734,43.448238,-80.174263,112.0
642,26735,43.448299,-80.173889,111.4
643,26736,43.448364,-80.173515,111.8
644,26737,43.448437,-80.173126,116.8
645,26738,43.448505,-80.172752,112.0
646,26739,43.448566,-80.172379,111.1
647,26740,43.448635,-80.171997,114.4
648,26741,43.4487,-80.171623,111.8
649,26742,43.448769,-80.171257,109.9
650,26743,43.448837,-80.170891,109.8
651,26744,43.448902,-80.170525,109.5
652,26745,43.448967,-80.170166,107.5
653,26746,43.449039,-80.169815,106.0
654,26747,43.449108,-80.169456,107.9
655,26748,43.449177,-80.169106,105.4
656,26749,43.449245,-80.168739,110.1
657,26750,43.449306,-80.168381,106.9
658,26751,43.449368,-80.168015,109.2
659,26752,43.449436,-80.167664,105.6
660,26753,43.449493,-80.167297,109.1
661,26754,43.449551,-80.166931,108.9
662,26755,43.449604,-80.166557,110.7
663,26756,43.449654,-80.166191,108.2
664,26757,43.449699,-80.165817,110.2
665,26758,43.449745,-80.165443,110.2
666,26759,43.449783,-80.165062,111.8
667,26760,43.449821,-80.164688,109.7
668,26761,43.449848,-80.164314,109.2
669,26762,43.449863,-80.163918,115.2
670,26763,43.449879,-80.163536,111.2
671,26764,43.449886,-80.163162,108.7
672,26765,43.449913,-80.162788,109.2
673,26766,43.449905,-80.162392,115.1
674,26767,43.449898,-80.162018,108.7
675,26768,43.44989,-80.161629,113.1
676,26769,43.449886,-80.161247,111.0
677,26770,43.449879,-80.160873,108.7
678,26771,43.449867,-80.160477,115.2
679,26772,43.449856,-80.160095,111.1
680,26773,43.449863,-80.159729,106.4
681,26774,43.44986,-80.159355,108.7
682,26775,43.449856,-80.158966,113.1
683,26776,43.449844,-80.158577,113.1
684,26777,43.449852,-80.158211,106.4
685,26778,43.449844,-80.157806,117.7
686,26779,43.449833,-80.157433,108.5
687,26780,43.449825,-80.157043,113.4
688,26781,43.449818,-80.156647,115.1
689,26782,43.449806,-80.156265,111.1
690,26783,43.449799,-80.155884,110.8
691,26784,43.449791,-80.155502,111.1
692,26785,43.449783,-80.155128,108.7
693,26786,43.449772,-80.154747,110.8
694,26787,43.449764,-80.154366,110.8
695,26788,43.449757,-80.153992,108.7
696,26789,43.449749,-80.153618,108.7
