timestamp,latitude,longitude
137471,43.457993,-80.111198
137472,43.458103,-80.110802
137473,43.458214,-80.11039
137474,43.458328,-80.109978
137475,43.458439,-80.109566
137476,43.458561,-80.109161
137477,43.458672,-80.108757
137478,43.45879,-80.108353
137479,43.4589,-80.107941
137480,43.459011,-80.107536
137481,43.459126,-80.10714
137482,43.459236,-80.106735
137483,43.459343,-80.106339
137484,43.459457,-80.105942
137485,43.459568,-80.105553
137486,43.459675,-80.105164
137487,43.459785,-80.104767
137488,43.459888,-80.104378
137489,43.459999,-80.103989
137490,43.460114,-80.1036
137491,43.460224,-80.103203
137492,43.460331,-80.102806
137493,43.460449,-80.102409
137494,43.46056,-80.102013
137495,43.460667,-80.101631
137496,43.460781,-80.101242
137497,43.460888,-80.100845
137498,43.460999,-80.100449
137499,43.461105,-80.10006
137500,43.461208,-80.099663
137501,43.461319,-80.099266
137502,43.46143,-80.098869
137503,43.461533,-80.098465
137504,43.461639,-80.098045
137505,43.461746,-80.097641
137506,43.461857,-80.097214
137507,43.461967,-80.096802
137508,43.462086,-80.096382
137509,43.462204,-80.09597
137510,43.462318,-80.095558
137511,43.462437,-80.095161
137512,43.462547,-80.094757
137513,43.462662,-80.09436
137514,43.462769,-80.093964
137515,43.462883,-80.093567
137516,43.462997,-80.093178
137517,43.463104,-80.092789
137518,43.463207,-80.092407
137519,43.463322,-80.092018
137520,43.463428,-80.091629
137521,43.463531,-80.091248
137522,43.463642,-80.090858
137523,43.463753,-80.090469
137524,43.46386,-80.09008
137525,43.463966,-80.089699
137526,43.464081,-80.08931
137527,43.464188,-80.088921
137528,43.464291,-80.088539
137529,43.464405,-80.08815
137530,43.464512,-80.087769
137531,43.464622,-80.087387
137532,43.464729,-80.087006
137533,43.46484,-80.086624
137534,43.464943,-80.086243
137535,43.46505,-80.085854
137536,43.46516,-80.08548
137537,43.465263,-80.085106
137538,43.465366,-80.084724
137539,43.465481,-80.084343
137540,43.465588,-80.083969
137541,43.465694,-80.083595
137542,43.465805,-80.083206
137543,43.465916,-80.082832
137544,43.466022,-80.082451
137545,43.466133,-80.082069
